"","days","d","significant","checkpoint","capability","predicted","model"
"1",0,-0.319871213398309,TRUE,"epoch","IDS preference",-0.556737614520616,"APC"
"2",1.73,-0.423387708533957,TRUE,"batch","IDS preference",-0.550759476008663,"APC"
"3",3.46,-0.416797140520039,TRUE,"batch","IDS preference",-0.54478133749671,"APC"
"4",5.19,-0.410577192740407,TRUE,"batch","IDS preference",-0.538803198984757,"APC"
"5",6.92,-0.457927418008189,TRUE,"batch","IDS preference",-0.532825060472804,"APC"
"6",8.65,-0.492764428266503,TRUE,"batch","IDS preference",-0.526846921960851,"APC"
"7",10.38,-0.550133730584104,TRUE,"batch","IDS preference",-0.520868783448898,"APC"
"8",12.11,-0.611182177014036,TRUE,"batch","IDS preference",-0.514890644936945,"APC"
"9",13.84,-0.69388509524067,TRUE,"batch","IDS preference",-0.508912506424992,"APC"
"10",15.57,-0.707179268698702,TRUE,"batch","IDS preference",-0.502934367913039,"APC"
"11",17.3,-0.640768222719001,TRUE,"epoch","IDS preference",-0.496956229401086,"APC"
"12",34.6,-0.503996078097707,TRUE,"epoch","IDS preference",-0.437174844281557,"APC"
"13",51.9,-0.480781951261936,TRUE,"epoch","IDS preference",-0.377393459162027,"APC"
"14",69.2,-0.319549115900236,TRUE,"epoch","IDS preference",-0.317612074042497,"APC"
"15",86.5,-0.286687802451488,TRUE,"epoch","IDS preference",-0.257830688922968,"APC"
"16",103.8,-0.176001075253307,FALSE,"epoch","IDS preference",-0.198049303803438,"APC"
"17",121.1,-0.131464961113809,FALSE,"epoch","IDS preference",-0.138267918683908,"APC"
"18",138.4,-0.031262289696797,FALSE,"epoch","IDS preference",-0.0784865335643788,"APC"
"19",155.7,0.055307840100237,FALSE,"epoch","IDS preference",-0.0187051484448492,"APC"
"20",166,-0.00303984616069428,FALSE,"epoch","IDS preference",0.0168872369153333,"APC"
"21",0,1.67650614483797,FALSE,"epoch","Native discrimination",1.31671592652693,"APC"
"22",1.73,0.142095026458327,FALSE,"batch","Native discrimination",1.31671592652693,"APC"
